name,system
Who Wants To Be A Millionaire,PC
Duke Nukem 3D: Plutonium Pak,PC
Special Delivery: Santa's Christmas Chaos,Commodore 64
Special Delivery: Santa's Christmas Chaos,ZX Spectrum
Special Delivery: Santa's Christmas Chaos,Atari 8-bit
World Cup Year 94,Amiga
World Cup Year 94,PC
Race 07: The Official WTCC Game,PC
Tecmo Classic Arcade,Xbox
The Fish Fillets II,PC
Athena: Awakening from the Ordinary Life,PlayStation
Athena: Awakening from the Ordinary Life,PlayStation Network (PS3)
Athena: Awakening from the Ordinary Life,PlayStation Network (PSP)
Bloodwych: Data Disks Vol. 1,Amiga
Bloodwych: Data Disks Vol. 1,Atari ST
Quattro Super Hits,Amstrad CPC
Quattro Super Hits,Commodore 64
Quattro Super Hits,ZX Spectrum
Baseball Advance,Game Boy Advance
MissionForce: Cyberstorm,PC
Kikstart: Off-Road Simulator,Commodore 64
Kikstart: Off-Road Simulator,ZX Spectrum
Kikstart: Off-Road Simulator,Atari 8-bit
Kikstart: Off-Road Simulator,Commodore 128
Your Sinclair Four Pack October 1990,ZX Spectrum
Tomb Raider II,Mac
Tomb Raider II,PlayStation
Tomb Raider II,PC
Crazy Kickers,PC
Gravitation,Mac
